animal_id_outcome,outcome_type
A380320,Euthanasia
A380420,Adoption
A380506,Euthanasia
A381173,Return to Owner
A381217,Transfer
A381217,Rto-Adopt
A382192,Transfer
A382251,Return to Owner
A383036,Euthanasia
A383964,Return to Owner
A384360,Return to Owner
A384568,Adoption
A385442,Return to Owner
A386005,Return to Owner
A386276,Adoption
A386688,Transfer
A387083,Return to Owner
A387965,Return to Owner
A388360,Return to Owner
A388691,Return to Owner
A390222,Adoption
A390222,Adoption
A391512,Return to Owner
A391858,Return to Owner
A392027,Return to Owner
A392075,Return to Owner
A392615,Return to Owner
A394547,Return to Owner
A395451,Return to Owner
A396810,Adoption
A397882,Return to Owner
A399421,Return to Owner
A399552,Transfer
A400498,Adoption
A400680,Relocate
A403564,Return to Owner
A405494,Return to Owner
A406756,Transfer
A407156,Return to Owner
A408035,Return to Owner
A409637,Return to Owner
A410330,Transfer
A410668,Rto-Adopt
A410684,Adoption
A412173,Return to Owner
A412626,Adoption
A412697,Return to Owner
A413789,Return to Owner
A414198,Return to Owner
A414513,Transfer
A414620,Adoption
A415049,Return to Owner
A415589,Return to Owner
A415823,Return to Owner
A415823,Return to Owner
A416128,Return to Owner
A416756,Return to Owner
A417545,Adoption
A417622,Return to Owner
A417642,Adoption
A417705,Return to Owner
A417737,Return to Owner
A417832,Transfer
A418634,Return to Owner
A419009,Return to Owner
A419161,Euthanasia
A419723,Transfer
A419781,Return to Owner
A420143,Transfer
A420464,Return to Owner
A421087,Return to Owner
A422526,Transfer
A423033,Return to Owner
A423546,Adoption
A423701,Return to Owner
A424158,Return to Owner
A424158,Return to Owner
A424158,Return to Owner
A424714,Return to Owner
A427100,Return to Owner
A427442,Return to Owner
A427782,Return to Owner
A427808,Return to Owner
A427866,Euthanasia
A428783,Adoption
A430328,Return to Owner
A430366,Return to Owner
A430368,Adoption
A430437,Transfer
A430500,Return to Owner
A430501,Euthanasia
A430671,Euthanasia
A430709,Return to Owner
A430709,Return to Owner
A430953,Return to Owner
A431223,Return to Owner
A431615,Adoption
A432065,Missing
A432197,Adoption
A433111,Return to Owner
A433111,Return to Owner
A433746,Transfer
A434523,Return to Owner
A434923,Return to Owner
A435209,Return to Owner
A435237,Return to Owner
A435358,Return to Owner
A436250,Return to Owner
A438287,Adoption
A438287,Died
A439702,Transfer
A439728,Transfer
A439733,Return to Owner
A440082,Return to Owner
A440835,Return to Owner
A441798,Died
A442798,Adoption
A443085,Euthanasia
A443085,Adoption
A443497,Transfer
A443738,Return to Owner
A443790,Adoption
A444115,Transfer
A445392,Return to Owner
A445694,Adoption
A447033,Missing
A447254,Return to Owner
A447753,Transfer
A447896,Return to Owner
A448018,Return to Owner
A448020,Return to Owner
A448267,Adoption
A448267,Return to Owner
A448750,Euthanasia
A448819,Return to Owner
A449107,Return to Owner
A449270,Missing
A449703,Died
A449752,Return to Owner
A449967,Rto-Adopt
A449968,Adoption
A449968,Relocate
A450003,Return to Owner
A450223,Return to Owner
A450274,Return to Owner
A450780,Return to Owner
A451014,Return to Owner
A452508,Missing
A452948,Return to Owner
A453083,Return to Owner
A453083,Return to Owner
A453083,Return to Owner
A453102,Adoption
A453102,Return to Owner
A453136,Adoption
A453523,Adoption
A453743,Return to Owner
A453933,Return to Owner
A454208,Return to Owner
A454245,Return to Owner
A454384,Return to Owner
A454384,Return to Owner
A454486,Return to Owner
A454665,Return to Owner
A455146,Transfer
A455868,Adoption
A456133,Adoption
A456604,Return to Owner
A456857,Return to Owner
A457029,Adoption
A457858,Return to Owner
A457858,Return to Owner
A459161,Return to Owner
A459318,Return to Owner
A459766,Transfer
A459766,Return to Owner
A459766,Return to Owner
A459845,Return to Owner
A459859,Transfer
A459869,Transfer
A459989,Return to Owner
A460100,Return to Owner
A460458,Adoption
A460458,Adoption
A460630,Transfer
A461106,Return to Owner
A461171,Transfer
A461224,Return to Owner
A461358,Return to Owner
A461574,Return to Owner
A462248,Return to Owner
A462504,Adoption
A462504,Adoption
A462504,Return to Owner
A462580,Adoption
A462580,Return to Owner
A462580,Return to Owner
A462580,Return to Owner
A462580,Return to Owner
A462580,Return to Owner
A462879,Return to Owner
A463218,Transfer
A463982,Return to Owner
A464189,Rto-Adopt
A464307,Return to Owner
A464377,Return to Owner
A464496,Transfer
A464652,Euthanasia
A464652,Missing
A465426,Return to Owner
A465573,Return to Owner
A465637,Transfer
A465830,Relocate
A465849,Missing
A465849,Return to Owner
A465930,Return to Owner
A466156,Return to Owner
A466411,Return to Owner
A466709,Died
A466810,Return to Owner
A466858,Euthanasia
A466946,Return to Owner
A467213,Euthanasia
A467387,Euthanasia
A467392,Return to Owner
A467567,Return to Owner
A468026,Adoption
A468026,Return to Owner
A468181,Return to Owner
A468181,Return to Owner
A468181,Return to Owner
A468181,Return to Owner
A468790,Return to Owner
A469338,Return to Owner
A470287,Return to Owner
A470702,Return to Owner
A471015,Adoption
A471018,Rto-Adopt
A471842,Return to Owner
A473179,Euthanasia
A473353,Return to Owner
A474000,Adoption
A474000,Died
A474001,Adoption
A474001,Adoption
A474311,Adoption
A474539,Return to Owner
A474852,Return to Owner
A475812,Return to Owner
A475943,Return to Owner
A475943,Return to Owner
A475944,Return to Owner
A475944,Return to Owner
A476054,Adoption
A476054,Return to Owner
A476298,Return to Owner
A476605,Return to Owner
A476605,Return to Owner
A476642,Transfer
A476706,Euthanasia
A476741,Adoption
A476874,Euthanasia
A477516,Return to Owner
A477746,Adoption
A477934,Return to Owner
A478206,Return to Owner
A478560,Missing
A478560,Died
A478560,Return to Owner
A478579,Euthanasia
A478957,Return to Owner
A479137,Relocate
A479150,Transfer
A481727,Return to Owner
A482046,Euthanasia
A482334,Return to Owner
A482518,Return to Owner
A482683,Return to Owner
A483240,Adoption
A483604,Return to Owner
A483647,Return to Owner
A484400,Return to Owner
A484400,Return to Owner
A484463,Return to Owner
A484851,Adoption
A484925,Transfer
A484945,Transfer
A485350,Return to Owner
A485352,Adoption
A485651,Return to Owner
A485674,Adoption
A485940,Adoption
A485955,Return to Owner
A486513,Return to Owner
A486573,Transfer
A486687,Return to Owner
A486898,Return to Owner
A487013,Return to Owner
A487253,Adoption
A487253,Adoption
A487470,Euthanasia
A488066,Adoption
A488203,Return to Owner
A488204,Return to Owner
A488234,Return to Owner
A488304,Return to Owner
A488740,Transfer
A489376,Euthanasia
A489376,Return to Owner
A489415,Died
A489417,Adoption
A489464,Return to Owner
A489503,Euthanasia
A489686,Return to Owner
A489704,Adoption
A489912,Adoption
A490091,Euthanasia
A490776,Return to Owner
A490893,Return to Owner
A491764,Return to Owner
A491810,Euthanasia
A491814,Return to Owner
A491814,Return to Owner
A491818,Return to Owner
A492030,Return to Owner
A492808,Adoption
A492949,Return to Owner
A493167,Rto-Adopt
A493225,Return to Owner
A493225,Return to Owner
A493291,Return to Owner
A493761,Euthanasia
A493772,Died
A494120,Adoption
A494120,Rto-Adopt
A494170,Return to Owner
A494176,Return to Owner
A494226,Return to Owner
A494990,Euthanasia
A495008,Return to Owner
A495060,Adoption
A495060,Died
A495308,Return to Owner
A495369,Return to Owner
A495740,Relocate
A495792,Adoption
A496561,Return to Owner
A496619,Return to Owner
A496789,Euthanasia
A497904,Return to Owner
A498100,Return to Owner
A498537,Return to Owner
A498720,Adoption
A498735,Return to Owner
A498842,Euthanasia
A499024,Return to Owner
A499156,Transfer
A499387,Adoption
A500002,Euthanasia
A500002,Return to Owner
A500065,Return to Owner
A500073,Return to Owner
A500349,Adoption
A500862,Return to Owner
A500873,Adoption
A500955,Adoption
A501071,Transfer
A501076,Return to Owner
A501193,Return to Owner
A501255,Return to Owner
A501433,Return to Owner
A501443,Adoption
A501600,Return to Owner
A502125,Return to Owner
A502315,Relocate
A502800,Return to Owner
A502862,Return to Owner
A502862,Return to Owner
A503335,Return to Owner
A503370,Return to Owner
A503371,Return to Owner
A503376,Euthanasia
A503431,Adoption
A503580,Return to Owner
A503709,Return to Owner
A503799,Return to Owner
A503957,Adoption
A504009,Transfer
A504009,Return to Owner
A504094,Return to Owner
A504189,Return to Owner
A504280,Return to Owner
A504723,Rto-Adopt
A504801,Return to Owner
A504813,Return to Owner
A504891,Adoption
A505682,Return to Owner
A505889,Transfer
A506000,Adoption
A506241,Transfer
A506775,Died
A506775,Missing
A506854,Adoption
A506854,Return to Owner
A506854,Return to Owner
A506972,Return to Owner
A507557,Return to Owner
A507614,Euthanasia
A507705,Adoption
A507728,Euthanasia
A508026,Return to Owner
A508027,Euthanasia
A508053,Return to Owner
A508053,Relocate
A508549,Return to Owner
A508692,Relocate
A509042,Adoption
A509204,Euthanasia
A509226,Return to Owner
A509228,Return to Owner
A509390,Return to Owner
A509868,Return to Owner
A510247,Return to Owner
A510247,Return to Owner
A510336,Adoption
A510475,Return to Owner
A510803,Return to Owner
A510997,Transfer
A511050,Return to Owner
A511198,Return to Owner
A511822,Adoption
A512158,Died
A512959,Adoption
A513419,Return to Owner
A513770,Return to Owner
A513956,Return to Owner
A514005,Transfer
A514009,Return to Owner
A514236,Return to Owner
A514445,Return to Owner
A514445,Return to Owner
A514631,Relocate
A514866,Return to Owner
A515049,Relocate
A515112,Return to Owner
A515271,Rto-Adopt
A515347,Return to Owner
A515453,Return to Owner
A515503,Return to Owner
A515605,Return to Owner
A515661,Return to Owner
A515677,Rto-Adopt
A515757,Return to Owner
A515757,Return to Owner
A515757,Return to Owner
A515831,Relocate
A516259,Rto-Adopt
A516260,Euthanasia
A516577,Adoption
A516577,Adoption
A516660,Adoption
A516705,Return to Owner
A516904,Return to Owner
A517501,Adoption
A517502,Adoption
A517675,Missing
A517675,Adoption
A517675,Rto-Adopt
A518184,Return to Owner
A518264,Return to Owner
A518545,Return to Owner
A518769,Return to Owner
A518911,Return to Owner
A518937,Return to Owner
A519025,Adoption
A519536,Transfer
A519888,Euthanasia
A519949,Return to Owner
A520040,Return to Owner
A520195,Euthanasia
A520337,Return to Owner
A520355,Return to Owner
A520572,Return to Owner
A520786,Adoption
A521224,Return to Owner
A521233,Return to Owner
A521273,Return to Owner
A521316,Return to Owner
A521520,Return to Owner
A521781,Return to Owner
A521806,Transfer
A521865,Return to Owner
A521990,Adoption
A522050,Return to Owner
A522054,Transfer
A522484,Return to Owner
A522774,Return to Owner
A522809,Return to Owner
A522952,Euthanasia
A523102,Adoption
A523114,Return to Owner
A523179,Return to Owner
A523371,Return to Owner
A523396,Euthanasia
A523532,Return to Owner
A523533,Return to Owner
A523719,Return to Owner
A524092,Adoption
A524092,Return to Owner
A524092,Return to Owner
A524092,Return to Owner
A524150,Return to Owner
A524313,Adoption
A524634,Adoption
A524680,Return to Owner
A524954,Return to Owner
A525136,Transfer
A525511,Return to Owner
A525592,Adoption
A525768,Adoption
A525938,Euthanasia
A526144,Return to Owner
A526237,Return to Owner
A526257,Return to Owner
A526328,Return to Owner
A526641,Transfer
A526647,Return to Owner
A527020,Return to Owner
A527094,Adoption
A527170,Euthanasia
A527215,Return to Owner
A527519,Transfer
A527535,Transfer
A527825,Died
A527951,Return to Owner
A528040,Return to Owner
A528040,Return to Owner
A528321,Adoption
A528322,Adoption
A528354,Return to Owner
A528477,Return to Owner
A528477,Return to Owner
A528524,Return to Owner
A528524,Relocate
A528954,Return to Owner
A528982,Transfer
A529027,Return to Owner
A529211,Return to Owner
A529310,Return to Owner
A529310,Return to Owner
A529310,Return to Owner
A529318,Adoption
A529609,Return to Owner
A529630,Adoption
A529648,Return to Owner
A529766,Return to Owner
A529868,Return to Owner
A529881,Return to Owner
A529890,Euthanasia
A529956,Return to Owner
A530122,Transfer
A530134,Return to Owner
A530190,Euthanasia
A530302,Adoption
A530460,Return to Owner
A530460,Return to Owner
A530461,Return to Owner
A530547,Adoption
A530589,Return to Owner
A530786,Return to Owner
A530793,Relocate
A530793,Relocate
A530800,Return to Owner
A531069,Return to Owner
A531234,Return to Owner
A531278,Return to Owner
A531317,Rto-Adopt
A531379,Return to Owner
A531394,Adoption
A531398,Rto-Adopt
A531549,Return to Owner
A531598,Return to Owner
A531621,Return to Owner
A531698,Missing
A531698,Return to Owner
A531699,Transfer
A531739,Rto-Adopt
A531969,Return to Owner
A532017,Adoption
A532282,Return to Owner
A532351,Adoption
A532351,Return to Owner
A532406,Adoption
A532455,Euthanasia
A532505,Return to Owner
A532694,Return to Owner
A532694,Adoption
A532762,Rto-Adopt
A532925,Return to Owner
A533019,Died
A533106,Adoption
A533243,Adoption
A533243,Return to Owner
A533557,Euthanasia
A533602,Adoption
A533602,Return to Owner
A533628,Transfer
A533649,Return to Owner
A533795,Return to Owner
A533842,Return to Owner
A534208,Adoption
A534366,Return to Owner
A534502,Return to Owner
A534548,Adoption
A534623,Transfer
A534623,Return to Owner
A534644,Return to Owner
A534780,Adoption
A534780,Adoption
A534780,Adoption
A534780,Return to Owner
A534959,Return to Owner
A534984,Return to Owner
A535012,Adoption
A535012,Return to Owner
A535071,Rto-Adopt
A535124,Adoption
A535277,Return to Owner
A535292,Adoption
A535375,Return to Owner
A535484,Adoption
A535492,Rto-Adopt
A535700,Return to Owner
A535768,Died
A535897,Return to Owner
A536035,Return to Owner
A536132,Transfer
A536136,Return to Owner
A536388,Return to Owner
A536404,Missing
A536404,Return to Owner
A536506,Died
A536757,Return to Owner
A537127,Rto-Adopt
A537127,Return to Owner
A537127,Return to Owner
A537149,Euthanasia
A537247,Euthanasia
A537300,Return to Owner
A538092,Return to Owner
A538284,Return to Owner
A538342,Adoption
A538360,Return to Owner
A538370,Adoption
A538370,Adoption
A538454,Return to Owner
A538454,Euthanasia
A538585,Relocate
A538603,Return to Owner
A538702,Missing
A538855,Transfer
A538907,Transfer
A539059,Transfer
A539175,Return to Owner
A539388,Euthanasia
A539485,Euthanasia
A539561,Transfer
A539570,Return to Owner
A540171,Return to Owner
A540225,Died
A540369,Return to Owner
A540495,Euthanasia
A540822,Return to Owner
A540828,Return to Owner
A541057,Return to Owner
A541397,Return to Owner
A541496,Return to Owner
A541517,Return to Owner
A541607,Return to Owner
A541994,Return to Owner
A542025,Transfer
A542056,Transfer
A542429,Transfer
A542462,Return to Owner
A542480,Missing
A542615,Return to Owner
A542708,Adoption
A542712,Euthanasia
A543040,Missing
A543040,Rto-Adopt
A543073,Return to Owner
A543073,Adoption
A543178,Euthanasia
A543232,Adoption
A543256,Return to Owner
A543374,Adoption
A543377,Euthanasia
A543749,Return to Owner
A543793,Return to Owner
A544105,Return to Owner
A544109,Return to Owner
A544109,Return to Owner
A544464,Return to Owner
A544464,Relocate
A544559,Adoption
A544595,Adoption
A544775,Adoption
A544831,Adoption
A544848,Relocate
A544916,Euthanasia
A545127,Euthanasia
A545219,Return to Owner
A545301,Adoption
A545373,Return to Owner
A545407,Return to Owner
A545642,Return to Owner
A545644,Adoption
A545644,Return to Owner
A545741,Return to Owner
A545749,Transfer
A545772,Adoption
A545780,Return to Owner
A545834,Return to Owner
A546081,Relocate
A546346,Adoption
A546730,Adoption
A546730,Return to Owner
A546804,Return to Owner
A547015,Transfer
A547015,Adoption
A547047,Return to Owner
A547088,Adoption
A547090,Return to Owner
A547090,Return to Owner
A547090,Return to Owner
A547350,Died
A547472,Euthanasia
A547472,Return to Owner
A547659,Return to Owner
A547803,Euthanasia
A547838,Return to Owner
A547887,Return to Owner
A547976,Return to Owner
A548085,Return to Owner
A548112,Euthanasia
A548154,Return to Owner
A548154,Return to Owner
A548154,Return to Owner
A548156,Return to Owner
A548156,Return to Owner
A548247,Return to Owner
A548247,Return to Owner
A548247,Return to Owner
A548276,Return to Owner
A548518,Return to Owner
A548552,Return to Owner
A548770,Euthanasia
A548911,Adoption
A548911,Return to Owner
A548939,Euthanasia
A548948,Euthanasia
A548990,Adoption
A549056,Adoption
A549098,Return to Owner
A549098,Return to Owner
A549167,Adoption
A549167,Return to Owner
A549167,Adoption
A549214,Return to Owner
A549214,Return to Owner
A549282,Died
A549282,Died
A549282,Adoption
A549440,Return to Owner
A549444,Return to Owner
A549562,Missing
A549633,Rto-Adopt
A549639,Return to Owner
A549697,Missing
A549748,Return to Owner
A549834,Adoption
A549865,Transfer
A549918,Missing
A549922,Transfer
A549922,Return to Owner
A549989,Adoption
A550048,Return to Owner
A550246,Return to Owner
A550333,Return to Owner
A550644,Return to Owner
A550849,Return to Owner
A550870,Adoption
A550885,Euthanasia
A550920,Transfer
A550921,Return to Owner
A550924,Relocate
A550960,Transfer
A551055,Transfer
A551111,Adoption
A551384,Adoption
A551384,Return to Owner
A551426,Euthanasia
A551435,Return to Owner
A551529,Transfer
A551529,Return to Owner
A551642,Return to Owner
A551669,Euthanasia
A551806,Return to Owner
A551845,Adoption
A552059,Return to Owner
A552088,Adoption
A552088,Adoption
A552145,Return to Owner
A552202,Euthanasia
A552326,Return to Owner
A552342,Transfer
A552447,Relocate
A552606,Transfer
A552757,Transfer
A552796,Missing
A552796,Return to Owner
A552798,Relocate
A552798,Return to Owner
A552877,Adoption
A552948,Return to Owner
A552971,Return to Owner
A553074,Return to Owner
A553542,Return to Owner
A553567,Return to Owner
A553905,Adoption
A554047,Return to Owner
A554047,Return to Owner
A554047,Return to Owner
A554047,Return to Owner
A554122,Adoption
A554386,Adoption
A554462,Return to Owner
A554462,Return to Owner
A554468,Transfer
A554674,Euthanasia
A554737,Transfer
A554827,Adoption
A554865,Missing
A554865,Adoption
A555012,Adoption
A555080,Return to Owner
A555080,Return to Owner
A555113,Return to Owner
A555168,Return to Owner
A555265,Missing
A555376,Return to Owner
A555413,Return to Owner
A555413,Return to Owner
A555446,Adoption
A555557,Return to Owner
A555643,Adoption
A555743,Transfer
A555945,Return to Owner
A556062,Transfer
A556234,Return to Owner
A556525,Transfer
A556644,Return to Owner
A556804,Adoption
A557226,Return to Owner
A557260,Return to Owner
A557678,Transfer
A557678,Return to Owner
A557843,Adoption
A558004,Return to Owner
A558033,Return to Owner
A558033,Adoption
A558062,Return to Owner
A558118,Return to Owner
A558166,Return to Owner
A558182,Adoption
A558397,Transfer
A558438,Return to Owner
A558438,Transfer
A558444,Return to Owner
A558566,Euthanasia
A558566,Return to Owner
A558639,Return to Owner
A558754,Return to Owner
A559090,Return to Owner
A559155,Return to Owner
A559229,Return to Owner
A559229,Return to Owner
A559229,Return to Owner
A559240,Euthanasia
A559331,Euthanasia
A559477,Transfer
A559547,Return to Owner
A559625,Adoption
A559692,Adoption
A559953,Adoption
A559953,Return to Owner
A559953,Return to Owner
A559953,Return to Owner
A559954,Adoption
A560007,Return to Owner
A560007,Return to Owner
A560060,Died
A560146,Adoption
A560226,Return to Owner
A560544,Return to Owner
A560622,Return to Owner
A560777,Return to Owner
A561188,Return to Owner
A561268,Return to Owner
A561418,Return to Owner
A561425,Return to Owner
A561425,Return to Owner
A561519,Return to Owner
A561786,Return to Owner
A561806,Return to Owner
A561806,Return to Owner
A561853,Adoption
A561853,Return to Owner
A561853,Return to Owner
A561853,Return to Owner
A561980,Return to Owner
A562030,Return to Owner
A562113,Transfer
A562114,Died
A562161,Adoption
A562170,Return to Owner
A562220,Euthanasia
A562221,Euthanasia
A562354,Transfer
A562507,Return to Owner
A562564,Return to Owner
A562621,Return to Owner
A562649,Euthanasia
A562836,Return to Owner
A562836,Return to Owner
A562836,Return to Owner
A563004,Adoption
A563004,Missing
A563010,Euthanasia
A563065,Adoption
A563128,Return to Owner
A563302,Return to Owner
A563380,Return to Owner
A563384,Adoption
A563397,Euthanasia
A563400,Return to Owner
A563400,Return to Owner
A563450,Adoption
A563492,Adoption
A563536,Return to Owner
A563563,Return to Owner
A563632,Return to Owner
A563645,Return to Owner
A563714,Return to Owner
A563725,Return to Owner
A563844,Return to Owner
A564102,Transfer
A564409,Rto-Adopt
A564443,Return to Owner
A564596,Return to Owner
A564596,Return to Owner
A564617,Transfer
A564660,Adoption
A564751,Missing
A564763,Return to Owner
A564767,Return to Owner
A564774,Return to Owner
A564774,Return to Owner
A564774,Return to Owner
A564774,Return to Owner
A564837,Return to Owner
A564837,Return to Owner
A564931,Return to Owner
A565044,Adoption
A565096,Return to Owner
A565096,Return to Owner
A565111,Return to Owner
A565123,Missing
A565188,Return to Owner
A565221,Euthanasia
A565221,Return to Owner
A565260,Return to Owner
A565312,Euthanasia
A565366,Transfer
A565460,Return to Owner
A565498,Euthanasia
A565498,Return to Owner
A565536,Adoption
A565536,Adoption
A565562,Euthanasia
A565694,Return to Owner
A565694,Rto-Adopt
A565938,Transfer
A566240,Transfer
A566278,Return to Owner
A566279,Transfer
A566309,Transfer
A566493,Adoption
A566493,Return to Owner
A566498,Return to Owner
A566618,Return to Owner
A566678,Return to Owner
A566795,Return to Owner
A566795,Return to Owner
A566868,Return to Owner
A566868,Return to Owner
A566868,Return to Owner
A566868,Return to Owner
A566960,Return to Owner
A567057,Euthanasia
A567214,Relocate
A567219,Return to Owner
A567219,Return to Owner
A567219,Return to Owner
A567323,Euthanasia
A567566,Return to Owner
A567704,Adoption
A567808,Died
A567903,Adoption
A567903,Died
A567903,Return to Owner
A567903,Return to Owner
A567959,Return to Owner
A568084,Adoption
A568109,Rto-Adopt
A568121,Adoption
A568123,Rto-Adopt
A568123,Return to Owner
A568123,Return to Owner
A568219,Euthanasia
A568282,Adoption
A568306,Euthanasia
A568438,Adoption
A568525,Adoption
A568525,Adoption
A568618,Rto-Adopt
A568715,Transfer
A568980,Return to Owner
A569032,Return to Owner
A569057,Return to Owner
A569057,Return to Owner
A569136,Adoption
A569147,Euthanasia
A569198,Relocate
A569218,Return to Owner
A569252,Return to Owner
A569252,Return to Owner
A569252,Return to Owner
A569290,Return to Owner
A569676,Return to Owner
A569821,Return to Owner
A569826,Return to Owner
A569886,Return to Owner
A569887,Return to Owner
A569887,Return to Owner
A569888,Rto-Adopt
A569888,Return to Owner
A570007,Return to Owner
A570082,Return to Owner
A570082,Return to Owner
A570086,Return to Owner
A570162,Transfer
A570181,Adoption
A570181,Adoption
A570181,Return to Owner
A570181,Adoption
A570182,Missing
A570182,Return to Owner
A570182,Adoption
A570185,Return to Owner
A570186,Return to Owner
A570239,Missing
A570348,Return to Owner
A570362,Transfer
A570436,Adoption
A570436,Return to Owner
A570436,Return to Owner
A570481,Return to Owner
A570611,Euthanasia
A570664,Transfer
A570741,Return to Owner
A570753,Return to Owner
A570786,Return to Owner
A570801,Return to Owner
A570940,Return to Owner
A570950,Return to Owner
A570974,Return to Owner
A571194,Adoption
A571229,Transfer
A571230,Return to Owner
A571326,Died
A571326,Return to Owner
A571326,Adoption
A571593,Return to Owner
A571610,Adoption
A571995,Adoption
A572003,Return to Owner
A572003,Return to Owner
A572003,Return to Owner
A572004,Return to Owner
A572004,Return to Owner
A572004,Return to Owner
A572166,Rto-Adopt
A572200,Return to Owner
A572200,Return to Owner
A572200,Return to Owner
A572457,Transfer
A572479,Return to Owner
A572538,Died
A572587,Return to Owner
A572590,Return to Owner
A572590,Return to Owner
A572590,Transfer
A572792,Transfer
A573060,Adoption
A573107,Return to Owner
A573107,Return to Owner
A573141,Transfer
A573162,Return to Owner
A573350,Adoption
A573460,Return to Owner
A573494,Return to Owner
A573611,Return to Owner
A573699,Return to Owner
A573717,Adoption
A573797,Return to Owner
A573863,Adoption
A573920,Return to Owner
A574026,Adoption
A574029,Adoption
A574382,Transfer
A574382,Return to Owner
A574488,Return to Owner
A574858,Return to Owner
A574932,Return to Owner
A574935,Missing
A575017,Euthanasia
A575091,Return to Owner
A575129,Transfer
A575180,Return to Owner
